year,artist,count,tag
"2023","The Glitch Mob","12","glitch"
"2023","Mat Zo","15","trance"
"2023","Major Lazer","7","dancehall"
"2023","Robot Science","1","electronic"
"2023","Max Cooper","4","minimal"
"2023","Symbiz","9","dubstep"
"2023","Etienne de Crécy","1","House"
"2023","FLOOR BABA","4","wonky"
"2023","Busy P","4","electro"
"2023","M.I.A.","28","Hip-Hop"
"2023","Kavinsky","10","electronic"
"2023","Scattle","6","electronic"
"2023","Odd Future","7","Hip-Hop"
"2023","Coolio","1","Hip-Hop"
"2023","Dexter","4","electro"
"2023","Kami","1","drummer"
"2023","Krooked","3","Drum and bass"
"2023","SSIO","9","Deutschrap"
"2023","Miles Davis","1","jazz"
"2023","Cassius","3","House"
"2023","Carpenter Brut","3","synthwave"
"2023","Ekali","6","trap"
"2023","Eiffel 65","1","dance"
"2023","The M Machine","6","electronic"
"2023","Skepta","1","Grime"
"2023","Sebastian Paul","1","ambient"
"2023","Halogenix","3","Drum and bass"
"2023","Chipzel","3","chiptune"
"2023","Austenyo","3","electronic"
"2023","PERSONA LA AVE","2","chillwave"
"2023","Popeska","2","dubstep"
"2023","Andy Stott","6","dub techno"
"2023","Soulwax","2","electronic"
"2023","Total Giovanni","1","indie"
"2023","Seatbelts","2","jazz"
"2023","P!nk","2","pop"
"2023","Vaski","1","dubstep"
"2023","Stephen Walking","4","dubstep"
"2023","Ol' Burger Beats","1","Hip-Hop"
"2023","Shygirl","2","Grime"
"2023","DJ Mehdi","2","electro"
"2023","Trevor Something","9","synthwave"
"2023","GoldLink","4","electronic"
"2023","Lunr","1","tech house"
"2023","elton aura","2","Hip-Hop"
"2023","Portugal. The Man","3","experimental"
"2023","Starship","1","80s"
"2023","Giraffage","38","chillwave"
"2023","Lorde","7","pop"
"2023","The Upbeats","6","Drum and bass"
"2023","Golden Features","7","deep house"
"2023","Big Gigantic","1","electronic"
"2023","Crème De La Crème","2","Hip-Hop"
"2023","Awesome Snakes","4","punk"
"2023","The Gaslamp Killer","1","experimental"
"2023","MadD3E","1","null"
"2023","Kim Wilde","2","80s"
"2023","Linkin Park","4","rock"
"2023","Suicidal Tendencies","2","hardcore"
"2023","Modeselektor","8","electronic"
"2023","Klimeks","5","dubstep"
"2023","The Kills","1","Garage Rock"
"2023","Moods","1","ambient"
"2023","Zubin","1","emo rap"
"2023","Chet Faker","7","downtempo"
"2023","Janus Rasmussen","1","electronic"
"2023","G Jones","4","trap"
"2023","Sinjin Hawke","1","wonky"
"2023","dw beats","2","null"
"2023","Camo & Krooked feat. Ayah Marar","2","Drum and bass"
"2023","Camo & Krooked feat. Skittles","1","Drum and bass"
"2023","Camo & Krooked feat. Jenna G & Futurebound","1","Drum and bass"
"2023","Camo & Krooked feat. Shaz Sparks","1","Drum and bass"
"2023","[bsd.u]","2","instrumental hip-hop"
"2023","Icona Pop","2","electronic"
"2023","AutoLaser","1","dubstep"
"2023","Eurythmics","1","80s"
"2023","Smooth McGroove","1","Acapella"
"2023","Lil Ugly Mane","3","Hip-Hop"
"2023","Benoît Pioulard","1","ambient"
"2023","M.I.L.K.","3","Korean"
"2023","Mk.gee","2","electronic"
"2023","µ-Ziq","2","idm"
"2023","Black Sabbath","18","heavy metal"
"2023","Aperture Science Psychoacoustics Laboratory","2","Soundtrack"
"2023","Nasaya","15","House"
"2023","NOWFEEL","3","electro"
"2023","DJ Ride","34","Hip-Hop"
"2023","Yuksek","25","electro"
"2023","Timi Hendrix","2","Deutschrap"
"2023","steventhedreamer","1","synth"
"2023","CeeLo Green","1","soul"
"2023","Loyle Carner","1","Hip-Hop"
"2023","Protoje","3","reggae"
"2023","Rockstah","1","Hip-Hop"
"2023","The xx","43","indie"
"2023","Kurt Vile","3","Lo-Fi"
"2023","Pocket","2","chillout"
"2023","A$AP Rocky","4","Hip-Hop"
"2023","Shag","3","Hip-Hop"
"2023","Käptn Peng","3","german"
"2023","Solar Fields","9","ambient"
"2023","Fatboy Slim","6","electronic"
"2023","Vince Staples","4","Hip-Hop"
"2023","Crumb","9","indie"
"2023","cocainejesus","3","vaporwave"
"2023","HWLS","5","trap"
"2023","clipping.","6","Hip-Hop"
"2023","Danny Baranowsky","3","Soundtrack"
"2023","The Bloody Beetroots","5","electro"
"2023","Evil Needle","3","beats"
"2023","Zedd","5","electronic"
"2023","Wolfgang Gartner","7","electro house"
"2023","Panama","1","electronic"
"2023","MillionYoung","1","chillwave"
"2023","SYV","1","Psychedelic Rock"
"2023","The Death Set","1","dance punk"
"2023","Miracle Musical","1","experimental"
"2023","Who Shot Scott","8","null"
"2023","Yuna","1","malaysian"
"2023","ANIMA!","1","electronic"
"2023","Siriusmo","2","electronic"
"2023","Kool & The Gang","1","funk"
"2023","aXian","1","beats"
"2023","Cream","1","classic rock"
"2023","Megan Thee Stallion","2","Hip-Hop"
"2023","Lido","2","electronic"
"2023","Rex Orange County","3","indie pop"
"2023","Klaypex","7","dubstep"
"2023","Liar","1","metalcore"
"2023","Machinedrum","4","idm"
"2023","Televisor","3","nu-disco"
"2023","SASSY 009","1","electronic"
"2023","Everything Everything","7","indie"
"2023","Maduk","6","Drum and bass"
"2023","The Moors","2","neofolk"
"2023","Machine Code","2","darkstep"
"2023","Kareful","1","wave"
"2023","Cashmere Cat","4","electronic"
"2023","Trilo","1","Drum and bass"
"2023","Mick Gordon","1","Soundtrack"
"2023","Mrsa","1","Drum and bass"
"2023","Dizzee Rascal","2","Grime"
"2023","Memtrix","1","Drum and bass"
"2023","The Noisy Freaks","1","electronic"
"2023","Bomfunk MC's","1","electronic"
"2023","Manic Street Preachers","2","rock"
"2023","Todd Edwards","6","House"
"2023","Alex Unknown","2","experimental"
"2023","Grabbitz","8","dubstep"
"2023","Garoad","2","synthwave"
"2023","Leon Vynehall","9","House"
"2023","N.A.S.A.","5","Hip-Hop"
"2023","ThorHighHeels","4","instrumental hip hop"
"2023","Gorillaz feat. Benjamin Clementine","1","featuring"
"2023","Fletcher","4","pop"
"2023","Jeremiah Fraites","1","ambient"
"2023","Goldfrapp","1","electronic"
"2023","Dessert","1","japanese"
"2023","Neil Frances","5","electronic"
"2023","The Internet","2","soul"
"2023","Darius","1","pop"
"2023","Thievery Corporation","2","chillout"
"2023","slenderbodies","2","indie"
"2023","Low Roar","4","ambient"
"2023","KNOWER","1","electronic"
"2023","Jadu Heart","1","chillwave"
"2023","Desmond Cheese","8","Hip-Hop"
"2023","Empress Of","2","dream pop"
"2023","Big Wild","4","electronic"
"2023","PRICIE","1","rnb"
"2023","FLETCHER","1","pop"
"2023","Bronson","5","hardcore"
"2023","Arca","3","electronic"
"2023","Sfire","1","electronic"
"2023","BABYNYMPH","1","experimental"
"2023","Marek Hemmann","3","minimal"
"2023","Two Feet","2","indie"
"2023","Zes","2","chillout"
"2023","Dido","2","pop"
"2023","Angelz","1","Norway"
"2023","Onyx","1","Hip-Hop"
"2023","Kölsch","1","techno"
"2023","Pyramid","2","Progressive metal"
"2023","Anbuu","1","electronic"
"2023","Seeed","3","reggae"
"2023","iolite","1","pop"
"2023","Lxury","1","electronic"
"2023","goosetaf","1","beats"
"2023","DSL","1","electro"
"2023","20syl","32","Hip-Hop"
"2023","Kilo Kish","4","Hip-Hop"
"2023","CRi","2","electronic"
"2023","Heather B.","1","Hip-Hop"
"2023","Hot Sugar","5","electronic"
"2023","Apparat","3","idm"
"2023","ET Finger","6","USA"
"2023","Ratatat","4","electronic"
"2023","AFX","3","idm"
"2023","K.Flay","3","Hip-Hop"
"2023","RITCHRD","2","beats"
"2023","Foster the People","2","indie"
"2023","BINKBEATS","1","electronic"
"2023","COFRESI","1","electronic"
"2023","Yung Lean","4","Hip-Hop"
"2023","What So Not","3","trap"
"2023","Com Truise","16","chillwave"
"2023","Baltra","1","House"
"2023","Domenique Dumont","7","electronic"
"2023","Nosaj Thing","18","electronic"
"2023","Prefuse 73","6","electronic"
"2023","Jacques Greene","8","future garage"
"2023","Bicep","9","House"
"2023","SBTRKT","10","electronic"
"2023","Goldwater","1","ambient"
"2023","Kraftwerk","2","electronic"
"2023","Chromatics","2","electronic"
"2023","Arfa","6","UK Garage"
"2023","Light Club","1","electronic"
"2023","QZB","4","Drum and bass"
"2023","Does It Offend You, Yeah?","3","electronic"
"2023","Grand Analog","1","Hip-Hop"
"2023","Swindle","1","dubstep"
"2023","Dillon Francis","11","moombahton"
"2023","DJ Okawari","2","japanese"
"2023","Marcin Przybyłowicz","6","Soundtrack"
"2023","Kaelin Ellis","1","funk"
"2023","Bon Iver","2","folk"
"2023","Justin Timberlake","3","pop"
"2023","JMSN","1","rnb"
"2023","Kali Uchis","4","rnb"
"2023","Zeds Dead","1","dubstep"
"2023","luis_d","3","null"
"2023","John B","2","Drum and bass"
"2023","joseph ray","7","deep house"
"2023","Shifty","7","Hip-Hop"
"2023","Ikaz boi","1","Hip-Hop"
"2023","Hodgy","1","Hip-Hop"
"2023","Sia","2","female vocalists"
"2023","Mosie","2","american"
"2023","Monsune","1","indie pop"
"2023","TeeHaaHaa","1","null"
"2023","HEALTH","1","experimental"
"2023","Black Marble","1","coldwave"
"2023","Perturbator","1","synthwave"
"2023","Boy Harsher","1","darkwave"
"2023","LA Priest","1","electronic"
"2023","The KVB","1","post-punk"
"2023","tonebox","1","synthwave"
"2023","Cold Cave","1","electronic"
"2023","oOoOO","3","witch house"
"2023","Power Glove","3","synthwave"
"2023","Gil Scott-Heron","10","soul"
"2023","Seoul","1","indie pop"
"2023","Lapalux","3","future garage"
"2023","Bibio","3","experimental"
"2023","Sampha","1","electronic"
"2023","Skin On Skin","1","electronic"
"2023","Emancipator","9","trip-hop"
"2023","Wagon Christ","2","electronic"
"2023","DJ Seinfeld","2","House"
"2023","Baths","5","electronic"
"2023","Oneohtrix Point Never","3","ambient"
"2023","Kara-Lis Coverdale","2","ambient"
"2023","Ólafur Arnalds","2","ambient"
"2023","DJ Koze","4","electronic"
"2023","Slowdive","3","shoegaze"
"2023","Metallica","1","thrash metal"
"2023","Persona Grata","1","Progressive rock"
"2023","Terror Squad","1","Hip-Hop"
"2023","Torky Tork","1","instrumental hip-hop"
"2023","Ninja Sex Party","2","comedy"
"2023","NxxxxxS","6","vaporwave"
"2023","Sam Hulick","3","Soundtrack"
"2023","Platnum","1","electronic"
"2023","Boot Camp Clik","2","Hip-Hop"
"2023","Crystal Castles","5","electronic"
"2023","Basement Jaxx","4","electronic"
"2023","IDubbbz","1","gay"
"2023","Tourist","4","ambient"
"2023","Benny Smiles","1","electronic"
"2023","Still Woozy","1","bedroom pop"
"2023","Pharrell Williams","4","Hip-Hop"
"2023","George Benson","1","jazz"
"2023","Darwin Deez","3","indie"
"2023","Mixed Matches","3","cloud rap"
"2023","Kučka","4","experimental"
"2023","Manatee Commune","2","chillwave"
"2023","Jon Hopkins","15","ambient"
"2023","Against All Logic","13","electronic"
"2023","The Avalanches","9","electronic"
"2023","One Million Dollar Band","1","null"
"2023","Humble Goods","8","null"
"2023","Finest Wear","5","deep house"
"2023","Aliotta Haynes Jeremiah","1","classic rock"
"2023","Mija","2","electronic"
"2023","Dwilly","2","Hip-Hop"
"2023","Too Many T's","1","Hip-Hop"
"2023","Glass Animals","1","electronic"
"2023","Nameless Warning","1","electronic"
"2023","Gramatik","4","Hip-Hop"
"2023","Cabu","1","electronic"
"2023","Jamaican Queens","1","indie"
"2023","Fat Jon","2","Hip-Hop"
"2023","Phoenix","1","indie"
"2023","Lovetempo","3","Disco"
"2023","J. Cole","6","Hip-Hop"
"2023","Tomos","1","electronic"
"2023","!!!","7","electronic"
"2023","Queen","13","classic rock"
"2023","kx5","2","electronic"
"2023","Lootpack","1","Hip-Hop"
"2023","Krazy Baldhead","1","electro"
"2023","TNGHT","2","trap"
"2023","LVNDSCAPE","2","House"
"2023","A. G. Cook","4","bubblegum bass"
"2023","Uwe Kaa","1","reggae"
"2023","j-hope","1","k-pop"
"2023","River Tiber","1","rnb"
"2023","Driver","1","heavy metal"
"2023","Ozzie","1","trap"
"2023","Radiohead","6","alternative"
"2023","Red Hot Chili Peppers","4","rock"
"2023","Jetson","4","electronic"
"2023","Black Taffy","1","ambient"
"2023","Rival","1","Grime"
"2023","Eprom","2","glitch"
"2023","Pest","1","black metal"
"2023","Stoop Kids","2","Hip-Hop"
"2023","Lazerhawk","1","synthwave"
"2023","Demeter","3","acoustic"
"2023","Womack & Womack","2","soul"
"2023","Cherry Glazerr","2","indie"
"2023","Kid Simius","1","dubstep"
"2023","Tom Misch","4","soul"
"2023","Despot","2","Hip-Hop"
"2023","Jensen Interceptor","2","electro"
"2023","Favored Nations","1","electronic"
"2023","Bad Snacks","1","instrumental hip hop"
"2023","Stonebank","1","dubstep"
"2023","TimmyT","1","90s"
"2023","Shouse","1","electronic"
"2023","SHIP WREK","1","electronic"
"2023","Bazox","1","UK"
"2023","Kasabian","1","indie"
"2023","Myd","9","electronic"
"2023","Loggins & Messina","1","null"
"2023","Brian Tyler","4","Soundtrack"
"2023","Foals","1","indie"
"2023","Cortex","2","post-punk"
"2023","I Am Legion","9","Grime"
"2023","Iriepathie","1","reggae"
"2023","Birdy Nam Nam","2","turntablism"
"2023","Gang Starr","3","Hip-Hop"
"2023","Genetikk","2","Deutschrap"
"2023","OutKast","3","Hip-Hop"
"2023","Ramin Djawadi","1","Soundtrack"
"2023","Marco Beltrami","1","Soundtrack"
"2023","Howard Shore","1","Soundtrack"
"2023","Cloud 9 Tribe","1","null"
"2023","Miami Vice","1","vaporwave"
"2023","Hans Zimmer","1","Soundtrack"
"2023","Stardust","1","House"
"2023","Rustie","1","dubstep"
"2023","Sabrepulse","3","8-bit"
"2023","Xilent","1","Drum and bass"
"2023","dyalla","1","electronic"
"2023","Death Cab for Cutie","3","indie"
"2023","HAAi","3","electronic"
"2023","Ryan Hemsworth","4","electronic"
"2023","Chris Lorenzo","6","electronic"
"2023","Yasper","1","chillhop"
"2023","Enoch Lenoir","1","null"
"2023","Ancient Astronauts","7","trip-hop"
"2023","Chromeo","2","electronic"
"2023","Yoni & Geti","1","Hip-Hop"
"2023","STRFKR","6","electronic"
"2023","OOHYO","2","electronic"
"2023","TiRon & Ayomari","2","null"
