day,count,artist,track
"1/14/2023","20","Sebastian","Bird Games (Interlude)"
"1/9/2023","34","Jakey","Like Totally Freak Me Out"
"1/8/2023","17","Flume","Spring"
"1/4/2023","20","KAYTRANADA","Got It Good"
"1/4/2023","22","Gus Dapperton","Post Humorous"
"1/2/2023","18","Justice","Final"
"12/21/2022","16","Kenny Beats","Rotten"
"12/17/2022","27","KAYTRANADA","TWIN FLAME"
"12/16/2022","27","Nujabes","Luv(sic.) Pt3 (feat. Shing02)"
"12/16/2022","27","Orchestre Lamoureux","Waters of Nazareth / We Are Your Friends (Orchestral Version)"
"12/7/2022","37","Kraftklub","Schöner Tag"
"12/6/2022","33","Fred again..","Me (Heavy)"
"12/5/2022","15","Jamie xx","Loud Places"
"12/3/2022","16","Jakey","Pine Barrens"
"12/2/2022","20","Jakey","Pine Barrens"
"12/1/2022","46","Jakey","Pine Barrens"
"11/28/2022","17","Jakey","Fat Head"
"11/27/2022","26","Jakey","Pine Barrens"
"11/25/2022","20","The Glitch Mob","Higher"
"11/24/2022","19","Jakey","Survival Horror"
"11/23/2022","35","Jakey","Pine Barrens"
"11/22/2022","28","Jakey","Survival Horror"
"11/22/2022","38","HWLS","Alpha"
"11/21/2022","78","Jakey","Saintlike"
"11/20/2022","19","The Glitch Mob","I Could Be Anything (feat. Elohim) (Hallucinogenius Remix)"
"11/19/2022","24","Jakey","Survival Horror"
"11/18/2022","104","Jakey","Drive Off a Bridge"
"11/17/2022","20","Joji","YUKON (INTERLUDE)"
"11/15/2022","27","KAYTRANADA","LITE SPOTS"
"11/15/2022","33","Modeselektor","Bilbao"
"11/13/2022","37","The xx","Dangerous"
"11/12/2022","28","Frederik Wiedmann","Do Not Touch Those Webs"
"11/12/2022","22","The xx","Fantasy"
"11/11/2022","20","Flume","Weekend"
"11/9/2022","16","Justice","D.A.N.C.E. x Fire x Safe and Sound (WWW)"
"11/8/2022","16","Jamie xx","KILL DEM"
"11/7/2022","16","LCD Soundsystem","Yr City's A Sucker"
"10/31/2022","16","The xx","Reunion"
"10/30/2022","15","LCD Soundsystem","Someone Great"
"10/27/2022","30","LCD Soundsystem","(We Don't Need This) Fascist Groove Thang - electric lady sessions"
"10/26/2022","22","LCD Soundsystem","North American Scum"
"10/24/2022","16","M.I.A.","Jimmy"
"10/24/2022","48","Flume","Depth Charge"
"10/19/2022","18","Flume","On Top (feat. T.Shirt)"
"10/19/2022","15","Sophie","LEMONADE"
"10/18/2022","19","Flume","Warm Thoughts"
"10/15/2022","25","LCD Soundsystem","Tired"
"10/14/2022","15","Yves Tumor","Kerosene!"
"10/14/2022","39","Modeselektor","Tacken"
"10/8/2022","16","Madvillain","Strange Ways"
"10/6/2022","15","Letherette","Restless"
"10/4/2022","19","Hudson Mohawke","Ingle Nook Slumber"
"10/3/2022","15","Howard Shore","Weathertop"
"9/27/2022","17","Jamie xx","All Under One Roof Raving"
"9/27/2022","16","Tyler, the Creator","SAFARI"
"9/27/2022","16","Childish Gambino","Stand Tall"
"9/22/2022","28","Petra Bock","Kapitel 5.3 - Mindfuck"
"9/20/2022","45","Moderat","Copy Copy"
"9/20/2022","26","Protoje","Roll"
"9/18/2022","25","QUIET BISON","The Tower (feat. fio)"
"9/15/2022","18","Hudson Mohawke","Come A Little Closer"
"9/7/2022","26","Moderat","This Time"
"9/7/2022","26","Modeselektor","Lockdown"
"9/6/2022","19","Moderat","This Time"
"9/6/2022","20","Hudson Mohawke","Ingle Nook Slumber"
"9/5/2022","63","Moderat","Easy Prey"
"9/5/2022","27","Hudson Mohawke","Stump"
"9/4/2022","37","Moderat","Copy Copy"
"9/1/2022","25","Moderat","This Time"
"8/31/2022","15","FKA twigs","Figure 8"
"8/31/2022","17","Moderat","No. 22 - Live"
"8/30/2022","51","Moderat","Bad Kingdom"
"8/30/2022","32","MedaSin","Landing"
"8/29/2022","20","Toro y Moi","05 Don’t Try"
"8/29/2022","32","Hudson Mohawke","Rain Shadow"
"8/28/2022","22","Toro y Moi","Low Shoulder"
"8/21/2022","25","AllttA","Zebulon (fg. IX) - Instrumental"
"8/21/2022","20","Hudson Mohawke","Stump"
"8/20/2022","15","Letherette","Comput"
"8/20/2022","26","Hudson Mohawke","Is It Supposed"
"8/19/2022","27","Letherette","bala berries"
"8/19/2022","59","Hudson Mohawke","Intentions"
"8/15/2022","15","Jamie xx","Girl"
"8/14/2022","29","Toro y Moi","Rose Quartz"
"8/13/2022","24","Toro y Moi","50‐50"
"8/12/2022","30","Flume","Free"
"8/11/2022","38","Flume","This Song Is Not About a Girl"
"8/10/2022","24","Flume","Like Water"
"8/9/2022","16","Flume","What About Us"
"8/5/2022","31","Sophie","Infatuation - Midnight Zone"
"8/3/2022","18","Childish Gambino","III. Life: The Biggest Troll [Andrew Auernheimer]"
"8/2/2022","52","KAYTRANADA","Well I Bet Ya"
"8/2/2022","23","Flume","Change"
"8/2/2022","34","FKA twigs","thank you song"
"7/31/2022","18","Brock Berrigan","A Fond Farewell"
"7/30/2022","22","KAYTRANADA","Midsection"
"7/30/2022","33","FKA twigs","Kicks"
"7/28/2022","25","FKA twigs","jealousy (feat. Rema)"
"7/28/2022","20","Flume","Jewel"
"7/23/2022","21","Flume","I Can't Tell"
"7/19/2022","37","Flume","╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌╫§╜φ°⌂▌"
"7/18/2022","92","Flume","Levitate"
"7/17/2022","34","Flume","Go - Otik Remix"
"7/16/2022","68","Flume","Is It Cold In The Water? - Flume & Eprom Remix"
"7/16/2022","15","Brock Berrigan","September 22nd"
"7/15/2022","60","Flume","Is It Cold In The Water? - Flume & Eprom Remix"
"7/11/2022","15","Sophie","Pretending"
"7/9/2022","19","Brock Berrigan","September 22nd"
"7/6/2022","15","Tyler, the Creator","WILSHIRE"
"7/1/2022","22","Sebastian","Doggg"
"7/1/2022","19","Tycho","Plains"
"6/30/2022","15","FKA twigs","Lights On"
"6/28/2022","78","Gorillaz","Andromeda (feat. DRAM)"
"6/27/2022","52","Gorillaz","People"
"6/25/2022","17","Toro y Moi","Days In Love"
"6/25/2022","15","Jamie xx","Girl"
"6/24/2022","16","Jamie xx","Seesaw"
"6/24/2022","22","ABSRDST","IDWK"
"6/24/2022","32","Tyler, the Creator","SAFARI"
"6/23/2022","15","Gorillaz","Souk Eye"
"6/22/2022","34","Gorillaz","Pirate Jet"
"6/21/2022","41","Jamie xx","Girl"
"6/21/2022","16","Flume","Hollow"
"6/20/2022","31","Jamie xx","The Rest Is Noise"
"6/20/2022","17","FKA twigs","killer"
"6/15/2022","29","Flume","Get U"
"6/14/2022","15","M.I.A.","Paper Planes"
"6/13/2022","17","Tyler, the Creator","SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)"
"6/13/2022","22","Gorillaz","Clint Eastwood"
"6/12/2022","16","Gorillaz","M1 A1"
"6/12/2022","16","Tyler, the Creator","SAFARI"
"6/12/2022","31","Flume","Amber"
"6/11/2022","19","Flume","Dreamtime"
"6/8/2022","18","Childish Gambino","III. Life: The Biggest Troll [Andrew Auernheimer]"
"6/8/2022","25","Flume","Highest Building"
"6/7/2022","23","Sophie","Dive - SDF"
"6/4/2022","19","Flume","Only Fans"
"6/3/2022","26","Letherette","After Hours"
"6/3/2022","42","Flume","Sleepless"
"6/2/2022","20","Flume","Hollow"
"5/31/2022","43","Flume","Left Alone - Ta-Ku Remix"
"5/30/2022","18","Flume","Go"
"5/29/2022","15","Flume","Palaces"
"5/28/2022","29","Flume","Palaces"
"5/28/2022","27","Sophie","Infatuation - The Abyss"
"5/27/2022","46","Flume","Say Nothing"
"5/27/2022","18","Tyler, the Creator","SAFARI"
"5/26/2022","32","Flume","I Can't Tell"
"5/26/2022","20","QUIET BISON","Blight (feat. fortune)"
"5/25/2022","32","Flume","Take A Chance"
"5/24/2022","51","Flume","Palaces"
"5/24/2022","18","Noisia","Closer"
"5/23/2022","73","Flume","Say Nothing"
"5/23/2022","16","M.I.A.","Caps Lock"
"5/22/2022","79","Flume","Palaces"
"5/20/2022","89","Flume","Sirens"
"5/18/2022","16","M|O|O|N","Locked"
"5/18/2022","19","Flume","Spring"
"5/15/2022","15","Camo & Krooked","Helios"
"5/15/2022","16","AllttA","Paradise Lost"
"5/13/2022","38","Noisia","Supersonic (VIP)"
"5/11/2022","15","Gus Dapperton","Coax & Botany"
"5/7/2022","25","Flume","Tiny Cities"
"5/6/2022","31","Flume","Say Nothing - Tchami Remix"
"5/6/2022","15","Evil Nine","Hired Goons"
"5/6/2022","18","Noisia","The Approach (Reprise)"
"5/6/2022","18","Everything Everything","Bad Friday"
"5/5/2022","15","Symbiz","All Alone"
"5/4/2022","17","Frank Ocean","Futura Free"
"5/4/2022","22","FKA twigs","ride the dragon"
"5/4/2022","20","Sophie","Infatuation - Lichtbogen Dreamin' Remix"
"5/4/2022","18","Gorillaz","Out of Body (feat. Kilo Kish, Zebra Katz & Imani Vonshà)"
"5/4/2022","23","Toro y Moi","Days In Love"
"5/3/2022","25","Sophie","Infatuation - The Trenches"
"5/3/2022","38","Noisia","Voodoo"
"5/2/2022","46","Noisia","Lilith's Club"
"5/2/2022","32","Kanye West","Keep My Spirit Alive Pt 2"
"5/1/2022","26","Modeselektor","Klangkrieg"
"4/29/2022","30","Flume","Let You Know"
"4/28/2022","15","Flume","Free"
"4/26/2022","43","Flume","Say Nothing"
"4/26/2022","17","Kučka","Ascension"
"4/25/2022","21","Flume","Holdin On - 123MRK Remix"
"4/25/2022","19","Photay","Astral Projection (Digital Bonus)"
"4/24/2022","31","Sebastian","スィート Sweet"
"4/24/2022","23","Flume","Palaces"
"4/24/2022","15","Dankmus.","Blurst of Times"
"4/22/2022","17","Porter Robinson","Trying to Feel Alive"
"4/20/2022","15","Porter Robinson","Trying to Feel Alive"
"4/20/2022","18","Childish Gambino","III. Life: The Biggest Troll [Andrew Auernheimer]"
"4/12/2022","43","Danger","23:05"
"4/12/2022","17","Flume","Space Cadet"
"4/11/2022","17","Everything Everything","Only as Good as My God"
"4/11/2022","49","Porter Robinson","do-re-mi-fa-so-la-ti-do"
"4/9/2022","19","Flume","Trust"
"4/7/2022","26","Queens of the Stone Age","…Like Clockwork"
"4/5/2022","21","Flume","Say Nothing"
"4/5/2022","26","Tyler, the Creator","ARE WE STILL FRIENDS?"
"4/4/2022","42","Everything Everything","The Wheel (Is Turning Now)"
"4/4/2022","16","Letherette","Wamp"
"4/3/2022","17","Letherette","Green"
"4/1/2022","22","Flume","Let You Know"
"3/31/2022","16","Flume","Sirens"
"3/30/2022","16","JPEGMAFIA","I Cannot Fucking Wait Til Morrissey Dies"
"3/30/2022","18","Abstract Orchestra","Mash Up 2"
"3/29/2022","37","Danger","6:03"
"3/28/2022","16","clipping.","Enlacing"
"3/27/2022","23","Everything Everything","Bad Friday"
"3/26/2022","23","Two Feet","Go Fuck Yourself"
"3/22/2022","42","Sophie","Faceshopping - Euphoric Reduce Me To Nothingness Remix"
"3/21/2022","18","Sophie","Infatuation - Lichtbogen Dreamin' Remix"
"3/17/2022","19","Flume","Daze 22.00"
"3/17/2022","15","FKA twigs","Pendulum"
"3/17/2022","23","M.I.A.","Like This - Bonus Track"
"3/17/2022","27","Modeselektor","Devotion is such a strong word"
"3/16/2022","25","Audio88","Ende in Sicht"
"3/15/2022","21","Sebastian","Doggg"
"3/14/2022","22","M.I.A.","Platforms"
"3/13/2022","19","Gorillaz","Dare - Dfa Remix"
"3/9/2022","46","20syl","Nine Nights"
"3/8/2022","51","FKA twigs","thank you song"
"3/7/2022","26","clipping.","Story 2"
"3/6/2022","18","FKA twigs","ride the dragon"
"3/5/2022","15","Yuksek","J'aime les synthés"
"3/4/2022","41","FKA twigs","holy terrain"
"3/4/2022","28","Grimes","Butterfly"
"3/4/2022","19","Girl Talk","Shut the Club Down"
"3/3/2022","17","FKA twigs","tears in the club (feat. The Weeknd)"
"3/2/2022","16","clipping.","Check the Lock"
"3/1/2022","16","clipping.","Say the Name"
"3/1/2022","52","Sebastian","Pleasant"
"2/28/2022","16","FKA twigs","jealousy (feat. Rema)"
"2/28/2022","19","Daft Punk","Burnin' - Dj Sneak Main Mix"
"2/27/2022","23","Tame Impala","Sundown Syndrome"
"2/27/2022","19","AllttA","Bravado (fg. VII)"
"2/25/2022","38","Sophie","Pretending I Give In - Let Go"
"2/24/2022","21","Audio88","Reiseführer"
"2/23/2022","19","Sebastian","Run for Me - Edit"
"2/23/2022","30","Daft Punk","Teachers - Extended Mix"
"2/22/2022","31","FKA twigs","Pendulum"
"2/22/2022","21","Seth Everman","I Love You, Nintendo"
"2/22/2022","17","Konami","Introduction"
"2/21/2022","31","FKA twigs","jealousy (feat. Rema)"
"2/21/2022","20","Sungazer","Electro"
"2/20/2022","21","Sophie","Laser"
"2/18/2022","34","Sophie","Whole New World/Pretend World"
"2/17/2022","19","Unknown Mortal Orchestra","Strangers Are Strange"
"2/17/2022","49","Aperture Science Psychoacoustics Laboratory","No Cake For You"
"2/17/2022","22","Aperture Science Psychoacoustic Laboratories","Self Esteem Fund"
"2/16/2022","16","Burial","Rival Dealer"
"2/16/2022","20","Digitalism","ZDRLT (Rewind)"
"2/15/2022","25","Gus Dapperton","I Ascend"
"2/15/2022","34","Death from Above 1979","No War"
"2/15/2022","18","Moderat","Rusty Nails - Live"
"2/14/2022","19","Flume","Spring"
"2/14/2022","25","Sophie","Infatuation - The Trenches"
"2/13/2022","21","Moderat","Fondle - Bonus Track"
"2/11/2022","27","Vince Staples","SAMO"
"2/10/2022","20","ABSRDST","We're Beautiful"
"2/10/2022","20","Boards of Canada","Semena Mertvykh"
"2/9/2022","20","Porter Robinson","Polygon Dust"
"2/8/2022","24","FLOOR BABA","DIRT BIRD"
"2/5/2022","48","Sophie","Faceshopping - Euphoric Reduce Me To Nothingness Remix"
"2/4/2022","69","Sophie","Ponyboy"
"2/3/2022","24","Flume","Say Nothing"
"2/3/2022","67","M.I.A.","Platforms"
"2/2/2022","51","M.I.A.","Platforms"
"2/2/2022","16","Flume","Say Nothing"
"2/2/2022","22","Disclosure","White Noise"
"2/2/2022","27","Gus Dapperton","Steady"
"2/1/2022","23","M.I.A.","Like This - Bonus Track"
"2/1/2022","18","Flume","Tiny Cities"
"2/1/2022","19","Sophie","BIPP - Autechre Mx"
"1/29/2022","22","M.I.A.","Meds and Feds"
"1/27/2022","15","Daft Punk","Funk Ad"
"1/27/2022","24","TNGHT","Gimme Summn"
"1/27/2022","25","AllttA","Paradise Lost"
"1/25/2022","19","Chrome Sparks","Blood"
"1/23/2022","15","Chet Faker","Release Your Problems"
"1/23/2022","17","M.I.A.","Fire, Fire"
"1/22/2022","17","Com Truise","Silicon Tare"
"1/18/2022","16","Brock Berrigan","Hazel Pt. 2"
"1/18/2022","20","Adolf Nomura","Garnet"
"1/17/2022","18","Thundercat","Where I'm Going"
"1/15/2022","16","Bonobo","Otomo"
"1/15/2022","19","The Weeknd","Gasoline"
"1/15/2022","27","MedaSin","Landing"
"1/15/2022","15","Kanye West","Through the Wire"
"1/15/2022","18","Toby Fox","Waterfall"
"1/14/2022","32","Bonobo","Sapien"
"1/14/2022","18","The Weeknd","Here We Go… Again (feat. Tyler, the Creator)"
"1/13/2022","46","Letherette","Long Breath"
"1/10/2022","18","Kanye West","Skit #4"
"1/7/2022","22","Kanye West","Come to Life"
"1/6/2022","19","Kanye West","Believe What I Say"
"1/1/2022","15","Letherette","Darling"
"1/1/2022","19","Brock Berrigan","September 22nd"
"12/31/2021","16","Adolf Nomura","00. ~OUT ON THE STREET~"
"12/29/2021","19","Gorillaz","Pirate Jet"
"12/29/2021","21","Justice","D.A.N.C.E. x Fire x Safe and Sound (WWW)"
"12/29/2021","16","Porter Robinson","Lifelike"
"12/25/2021","19","Frank Ocean","Seigfried"
"12/22/2021","29","Jakey","Pine Barrens"
"12/22/2021","16","Charli XCX","Shake It (feat. Big Freedia, CupcakKe, Brooke Candy and Pabllo Vittar)"
"12/21/2021","18","Frank Ocean","Pink Matter"
"12/19/2021","21","Noisia","Dead Limit (Noisia's 'Outer Edges' Remix) ∴ Dead Limit (Live)"
"12/18/2021","18","Letherette","Malfun"
"12/18/2021","18","Frank Ocean","Futura Free"
"12/17/2021","20","Karma Fields","Seconds"
"12/16/2021","33","Toby Fox","Dating Start!"
"12/13/2021","22","Weihnachtsmusik","Good King Wenceslas - Holiday Spirit"
"12/12/2021","19","Weihnachtsmusik","Auld Lang Syne - Christmas Holidays"
"12/10/2021","32","Tyler, the Creator","Whoville"
"12/9/2021","23","Tyler, the Creator","WILSHIRE"
"12/9/2021","19","Aphex Twin","Orban Eq Trx 4"
"12/9/2021","15","Mac DeMarco","Master Yupa - Instrumental"
"12/7/2021","31","Aphex Twin","Strotha Tynhe"
"12/6/2021","26","Tyler, the Creator","Whoville"
"12/5/2021","15","Letherette","Easy"
"12/4/2021","18","Letherette","Floating"
"12/3/2021","34","Tyler, the Creator","November"
"12/3/2021","18","Porter Robinson","Trying to Feel Alive"
"11/23/2021","19","Modeselektor","WMF Love Song"
"11/23/2021","17","Tame Impala","Is It True - Four Tet Remix"
"11/22/2021","30","Modeselektor","Shipwreck"
"11/22/2021","50","Tame Impala","One More Year"
"11/19/2021","45","Gorillaz","Pirate Jet"
"11/18/2021","50","Tame Impala","Apocalypse Dreams - Live"
"11/14/2021","16","Tame Impala","Tomorrow's Dust"
"11/11/2021","24","Gus Dapperton","I Ascend"
"11/11/2021","15","MedaSin","Launch Console"
"11/9/2021","26","Gus Dapperton","Bottle Opener"
"11/6/2021","18","Modeselektor","Soda"
"11/2/2021","25","Modeselektor","Bilbao"
"11/2/2021","16","Home","Oort Cloud"
"11/1/2021","28","Childish Gambino","Dial Up"
"10/29/2021","87","Brock Berrigan","Crossing Paths"
"10/25/2021","18","Letherette","Slunk"
"10/24/2021","26","Letherette","Do It to Me"
"10/23/2021","29","Modeselektor","Devotion is such a strong word"
"10/19/2021","15","Brock Berrigan","An Old Love Tale"
"10/19/2021","21","Netsky","Basic Instinct"
"10/17/2021","18","Tyler, the Creator","Lone"
"10/14/2021","20","King Gizzard & The Lizard Wizard","Road Train"
"10/12/2021","17","Neckclippa","Outro - Bonus Beat"
"10/10/2021","21","Childish Gambino","III. Life: The Biggest Troll [Andrew Auernheimer]"
"10/9/2021","23","Unknown Mortal Orchestra","Boy Witch"
"10/9/2021","20","Linkin Park","The Messenger"
"10/8/2021","16","Tyler, the Creator","SAFARI"
"10/8/2021","43","Unknown Mortal Orchestra","Multi-Love"
"10/7/2021","44","Unknown Mortal Orchestra","Puzzles"
"10/7/2021","24","King Gizzard & The Lizard Wizard","Sense"
"10/5/2021","19","Unknown Mortal Orchestra","Secret Xtians"
"10/5/2021","25","Kanye West","Jesus Lord Pt 2"
"9/26/2021","18","AllttA","More Better (fg. II) - Instrumental"
"9/25/2021","17","SSIO","Ich fibicke jeden"
"9/25/2021","15","Tyler, the Creator","WILSHIRE"
"9/24/2021","27","Modeselektor","Devotion is such a strong word"
"9/23/2021","15","Tyler, the Creator","WILSHIRE"
"9/22/2021","17","Tyler, the Creator","SAFARI"
"9/20/2021","16","Neckclippa","Spiritual Mine Field"
"9/18/2021","16","Tyler, the Creator","SAFARI"
"9/17/2021","15","Kanye West","Hurricane"
"9/17/2021","15","Digitalism","Blink"
"9/17/2021","15","Flume","Amber"
"9/13/2021","20","Adolf Nomura","Garnet"
"9/11/2021","18","MedaSin","Landing"
"9/10/2021","17","Thundercat","How Sway"
"9/10/2021","19","Tyler, the Creator","ARE WE STILL FRIENDS?"
"9/8/2021","18","Madeon","No Fear No More"
"9/7/2021","17","Tyler, the Creator","SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)"
"9/6/2021","20","Childish Gambino","I. Crawl"
"9/6/2021","28","Crumb","Plants"
"9/5/2021","15","Letherette","Brown Lounge, Vol. 4 - Continous Mix"
"9/4/2021","15","Mark Ronson","The Night Last Night"
"9/3/2021","19","Kanye West","Jesus Lord"
"9/2/2021","15","Mark Ronson","Late Night Feelings (feat. Lykke Li)"
"8/29/2021","22","Kanye West","Lord I Need You"
"8/28/2021","17","TNGHT","Dollaz"
"8/27/2021","35","Hudson Mohawke","Ryderz"
"8/26/2021","22","Hudson Mohawke","Chimes"
"8/26/2021","15","Jai Paul","BTSTU - Demo"
"8/24/2021","28","JAY-Z","New Day"
"8/24/2021","24","Hudson Mohawke","Scud Books"
"8/24/2021","24","Jamiroquai","Deeper Underground - Full version"
"8/23/2021","20","Camo & Krooked","Slow Down (feat. ROBB) - Fred V & Grafix Remix"
"8/23/2021","48","Hudson Mohawke","Play N Go"
"8/21/2021","49","Daft Punk","Human After All/Together/One More Time/Music Sounds Better With You"
"8/20/2021","17","Frank Ocean","Futura Free"
"8/20/2021","17","Camo & Krooked","Like I Do (feat. James Hersey)"
"8/12/2021","15","Flume","Amber"
"8/12/2021","18","Tyler, the Creator","SAFARI"
"8/11/2021","15","Flume","Star Eyes"
"8/11/2021","15","Daft Punk","Funk Ad"
"8/11/2021","27","Modeselektor","Devotion is such a strong word"
"8/10/2021","16","Tyler, the Creator","SAFARI"
"8/9/2021","26","Jai Paul","BTSTU - Demo"
"8/8/2021","20","Modeselektor","Disc"
"8/4/2021","20","Dankmus.","Dr. Zeius"
"8/3/2021","15","Modeselektor","Minibus"
"7/31/2021","23","The Prodigy","Stand Up"
"7/28/2021","15","Yuksek","Dead or Alive"
"7/28/2021","15","Jai Paul","All Night - Unfinished"
"7/27/2021","22","King Gizzard & The Lizard Wizard","Evil Death Roll"
"7/25/2021","19","Tyler, the Creator","Tamale"
"7/23/2021","18","King Gizzard & The Lizard Wizard","Honey"
"7/22/2021","30","King Gizzard & The Lizard Wizard","Gamma Knife"
"7/21/2021","34","King Gizzard & The Lizard Wizard","Wah Wah"
"7/21/2021","31","Letherette","Suzette"
"7/20/2021","33","Letherette","Cold Clam"
"7/20/2021","28","Tyler, the Creator","PEACH FUZZ"
"7/19/2021","36","Letherette","Gas Stations and Restaurants"
"7/19/2021","23","Sophie","HARD"
